Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
December 18, 2023 - 08:58:30
Django version 4.2.7, using settings 'BJSTNews.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

[18/Dec/2023 08:58:41] "GET / HTTP/1.1" 200 10820
[18/Dec/2023 08:58:41] "GET /static/js/Markdown_change_to_plain.js HTTP/1.1" 200 1325
[18/Dec/2023 08:58:43] "GET /media/images/4d3b713b34edfed53576f285ce474376_7174235503057069148_m9z7ihk.jpg HTTP/1.1" 200 1775913
Not Found: /favicon.ico
[18/Dec/2023 08:58:44] "GET /favicon.ico HTTP/1.1" 404 5021
Building prefix dict from the default dictionary ...
Loading model from cache /tmp/jieba.cache
Loading model cost 0.582 seconds.
Prefix dict has been built successfully.
[18/Dec/2023 08:58:55] "GET /search/?q=12345 HTTP/1.1" 200 9339
[18/Dec/2023 08:59:01] "GET /entries/5/ HTTP/1.1" 200 11695
[18/Dec/2023 08:59:34] "GET /admin/ HTTP/1.1" 302 0
[18/Dec/2023 08:59:35] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4048
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/img/logo.png HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/css/login.css?_=2.1 HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/css/all.min.css HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/elementui/theme-chalk/index.css HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/js/vue.min.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/particles/particles.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/particles/app.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/elementui/index.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:36] "GET /static/admin/simpleui-x/img/bg.svg HTTP/1.1" 304 0
[18/Dec/2023 08:59:37] "GET /static/admin/simpleui-x/js/login.js?_=3.3 HTTP/1.1" 304 0
[18/Dec/2023 08:59:37] "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
[18/Dec/2023 08:59:42] "GET /static/admin/simpleui-x/elementui/theme-chalk/fonts/element-icons.woff HTTP/1.1" 304 0
[18/Dec/2023 08:59:45] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[18/Dec/2023 08:59:45] "GET /admin/ HTTP/1.1" 200 19609
[18/Dec/2023 08:59:45] "GET /static/admin/simpleui-x/css/index.css?_=3.2 HTTP/1.1" 304 0
[18/Dec/2023 08:59:45] "GET /static/admin/simpleui-x/waves/waves.min.css?_=2.1 HTTP/1.1" 304 0
[18/Dec/2023 08:59:45] "GET /static/admin/simpleui-x/automatic/segment.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/js/cookie.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/locale/en-us.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/automatic/dicts.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/waves/waves.min.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/theme/theme.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/js/menu.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/js/index.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:46] "GET /static/admin/simpleui-x/locale/zh-hans.js?_=2023.12.12 HTTP/1.1" 304 0
[18/Dec/2023 08:59:47] "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 0
[18/Dec/2023 08:59:47] "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
[18/Dec/2023 08:59:53] "GET /admin/BJSTAccount/bjstaccount/ HTTP/1.1" 200 39298
[18/Dec/2023 08:59:53] "GET /static/admin/css/base.css?_=2.7 HTTP/1.1" 304 0
[18/Dec/2023 08:59:53] "GET /static/admin/simpleui-x/js/language.js?_=2.1.2 HTTP/1.1" 304 0
[18/Dec/2023 08:59:53] "GET /static/admin/simpleui-x/css/base.css?_=2.7 HTTP/1.1" 304 0
[18/Dec/2023 08:59:53] "GET /static/admin/simpleui-x/theme/simpleui.css HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/css/changelists.css?_=20180905 HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/simpleui-x/locale/en-us.js?_=2.1.2 HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/simpleui-x/js/cookie.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/css/responsive.css?_=20180905 HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/simpleui-x/locale/zh-hans.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[18/Dec/2023 08:59:54] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:54] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:55] "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:55] "GET /static/admin/simpleui-x/automatic/dicts.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:55] "GET /static/admin/simpleui-x/automatic/segment.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:55] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:55] "GET /static/admin/simpleui-x/js/axios.min.js HTTP/1.1" 304 0
[18/Dec/2023 08:59:55] "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
[18/Dec/2023 09:00:05] "GET /admin/BJSTAccount/bjstaccount/add/ HTTP/1.1" 200 11984
[18/Dec/2023 09:00:05] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[18/Dec/2023 09:00:05] "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[18/Dec/2023 09:00:05] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[18/Dec/2023 09:00:05] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[18/Dec/2023 09:00:05] "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
